Draw Date,#1,#2,#3,#4,#5,Mega Ball,,White Balls,Count,Percentage,,Mega Ball,Count,Percentage
10/31/17,6,28,31,52,53,12,,1,4,3.20%,,1,0,0.00%
11/03/17,10,22,42,61,69,3,,2,1,0.80%,,2,1,4.00%
11/07/17,1,54,60,68,69,11,,3,4,3.20%,,3,2,8.00%
11/10/17,6,23,38,42,58,24,,4,2,1.60%,,4,0,0.00%
11/14/17,1,14,21,22,28,19,,5,0,0.00%,,5,1,4.00%
11/17/17,3,26,55,58,70,15,,6,4,3.20%,,6,0,0.00%
11/21/17,3,7,22,27,50,3,,7,1,0.80%,,7,2,8.00%
11/24/17,16,36,54,61,64,22,,8,1,0.80%,,8,1,4.00%
11/28/17,10,17,47,51,61,5,,9,0,0.00%,,9,1,4.00%
12/01/17,16,22,40,41,59,8,,10,4,3.20%,,10,1,4.00%
12/05/17,14,15,37,42,67,22,,11,1,0.80%,,11,1,4.00%
12/08/17,6,37,46,60,70,24,,12,2,1.60%,,12,1,4.00%
12/12/17,8,23,24,25,27,9,,13,0,0.00%,,13,0,0.00%
12/15/17,4,12,36,44,57,19,,14,2,1.60%,,14,0,0.00%
12/19/17,28,37,39,42,58,2,,15,1,0.80%,,15,1,4.00%
12/22/17,1,20,30,33,42,16,,16,3,2.40%,,16,1,4.00%
12/26/17,10,12,20,38,41,25,,17,3,2.40%,,17,0,0.00%
12/29/17,4,10,18,28,62,7,,18,2,1.60%,,18,1,4.00%
01/02/18,1,42,47,64,70,22,,19,1,0.80%,,19,2,8.00%
01/05/18,28,30,39,59,70,10,,20,2,1.60%,,20,0,0.00%
01/09/18,16,29,31,65,67,23,,21,1,0.80%,,21,0,0.00%
01/12/18,17,18,33,46,60,24,,22,4,3.20%,,22,3,12.00%
01/16/18,3,11,23,29,59,18,,23,4,3.20%,,23,2,8.00%
01/19/18,3,17,23,19,66,23,,24,1,0.80%,,24,3,12.00%
01/23/18,2,6,30,31,55,7,,25,1,0.80%,,25,1,4.00%
,,,,,,,,26,1,0.80%,,,,
,,,,,,,,27,2,1.60%,,,,
,,,,,,,,28,5,4.00%,,,,
,,,,,,,,29,2,1.60%,,,,
,,,,,,,,30,3,2.40%,,,,
,,,,,,,,31,3,2.40%,,,,
,,,,,,,,32,0,0.00%,,,,
,,,,,,,,33,2,1.60%,,,,
,,,,,,,,34,0,0.00%,,,,
,,,,,,,,35,0,0.00%,,,,
,,,,,,,,36,2,1.60%,,,,
,,,,,,,,37,3,2.40%,,,,
,,,,,,,,38,2,1.60%,,,,
,,,,,,,,39,2,1.60%,,,,
,,,,,,,,40,1,0.80%,,,,
,,,,,,,,41,2,1.60%,,,,
,,,,,,,,42,6,4.80%,,,,
,,,,,,,,43,0,0.00%,,,,
,,,,,,,,44,1,0.80%,,,,
,,,,,,,,45,0,0.00%,,,,
,,,,,,,,46,2,1.60%,,,,
,,,,,,,,47,2,1.60%,,,,
,,,,,,,,48,0,0.00%,,,,
,,,,,,,,49,0,0.00%,,,,
,,,,,,,,50,1,0.80%,,,,
,,,,,,,,51,1,0.80%,,,,
,,,,,,,,52,1,0.80%,,,,
,,,,,,,,53,1,0.80%,,,,
,,,,,,,,54,2,1.60%,,,,
,,,,,,,,55,2,1.60%,,,,
,,,,,,,,56,0,0.00%,,,,
,,,,,,,,57,1,0.80%,,,,
,,,,,,,,58,3,2.40%,,,,
,,,,,,,,59,3,2.40%,,,,
,,,,,,,,60,3,2.40%,,,,
,,,,,,,,61,3,2.40%,,,,
,,,,,,,,62,1,0.80%,,,,
,,,,,,,,63,0,0.00%,,,,
,,,,,,,,64,2,1.60%,,,,
,,,,,,,,65,1,0.80%,,,,
,,,,,,,,66,1,0.80%,,,,
,,,,,,,,67,2,1.60%,,,,
,,,,,,,,68,1,0.80%,,,,
,,,,,,,,69,2,1.60%,,,,
,,,,,,,,70,4,3.20%,,,,
,,,,,,,,,,,,,,
,,,,,,,,,Total,125,,,,
