Draw Date,#1,#2,#3,#4,#5,Powerball,,White Balls,Count,Percentage,,Powerball,Count,Percentage
10/07/15,18,30,40,48,52,9,,1,15,1.24%,,1,7,2.90%
10/10/15,12,27,29,43,68,1,,2,15,1.24%,,2,7,2.90%
10/14/15,15,20,29,31,40,1,,3,23,1.91%,,3,10,4.15%
10/17/15,48,49,57,62,69,19,,4,11,0.91%,,4,10,4.15%
10/21/15,30,32,42,56,57,11,,5,17,1.41%,,5,9,3.73%
10/24/15,20,31,56,60,64,2,,6,12,1.00%,,6,11,4.56%
10/28/15,4,54,56,62,63,10,,7,14,1.16%,,7,7,2.90%
10/31/15,9,20,25,47,68,7,,8,14,1.16%,,8,9,3.73%
11/04/15,2,12,17,20,65,17,,9,20,1.66%,,9,15,6.22%
11/07/15,7,16,25,50,53,15,,10,20,1.66%,,10,11,4.56%
11/11/15,4,26,32,55,64,18,,11,16,1.33%,,11,9,3.73%
11/14/15,14,22,37,45,66,5,,12,20,1.66%,,12,10,4.15%
11/18/15,17,40,41,46,69,6,,13,14,1.16%,,13,11,4.56%
11/21/15,37,47,50,52,57,21,,14,15,1.24%,,14,3,1.24%
11/25/15,16,29,53,58,69,21,,15,12,1.00%,,15,10,4.15%
11/28/15,2,6,47,66,67,2,,16,26,2.16%,,16,7,2.90%
12/02/15,14,18,19,32,64,9,,17,17,1.41%,,17,11,4.56%
12/05/15,13,27,33,47,68,13,,18,17,1.41%,,18,6,2.49%
12/09/15,7,10,16,46,56,1,,19,18,1.49%,,19,11,4.56%
12/12/15,2,14,19,30,62,22,,20,20,1.66%,,20,8,3.32%
12/16/15,9,10,32,42,55,6,,21,17,1.41%,,21,12,4.98%
12/19/15,28,30,41,59,68,10,,22,16,1.33%,,22,10,4.15%
12/23/15,16,38,55,63,67,25,,23,26,2.16%,,23,6,2.49%
12/26/15,27,40,44,59,65,20,,24,15,1.24%,,24,12,4.98%
12/30/15,12,36,38,54,61,22,,25,20,1.66%,,25,11,4.56%
01/02/16,5,6,15,29,42,10,,26,14,1.16%,,26,8,3.32%
01/06/16,2,11,47,62,63,17,,27,16,1.33%,,,,
01/09/16,16,19,32,34,57,13,,28,28,2.32%,,,,
01/13/16,4,8,19,27,34,10,,29,18,1.49%,,,,
01/16/16,3,51,52,61,64,6,,30,18,1.49%,,,,
01/20/16,5,39,44,47,69,24,,31,18,1.49%,,,,
01/23/16,22,32,34,40,69,19,,32,30,2.49%,,,,
01/27/16,3,12,40,52,67,21,,33,22,1.83%,,,,
01/30/16,5,12,16,31,43,18,,34,10,0.83%,,,,
02/03/16,26,28,31,60,67,23,,35,10,0.83%,,,,
02/06/16,4,13,31,36,52,8,,36,14,1.16%,,,,
02/10/16,2,3,40,50,62,5,,37,18,1.49%,,,,
02/13/16,7,15,18,19,36,20,,38,11,0.91%,,,,
02/17/16,7,17,27,29,40,25,,39,15,1.24%,,,,
02/20/16,11,12,15,16,54,25,,40,21,1.74%,,,,
02/24/16,21,31,64,65,67,5,,41,21,1.74%,,,,
02/27/16,10,11,21,22,53,18,,42,16,1.33%,,,,
03/02/16,12,13,44,52,62,6,,43,13,1.08%,,,,
03/05/16,3,27,34,59,69,19,,44,17,1.41%,,,,
03/09/16,14,23,32,34,68,3,,45,13,1.08%,,,,
03/12/16,11,28,50,57,62,23,,46,11,0.91%,,,,
03/16/16,10,12,13,46,50,21,,47,15,1.24%,,,,
03/19/16,11,23,43,54,60,3,,48,16,1.33%,,,,
03/23/16,5,8,15,22,49,25,,49,16,1.33%,,,,
03/26/16,11,23,42,52,68,6,,50,17,1.41%,,,,
03/30/16,24,44,53,55,63,19,,51,13,1.08%,,,,
04/02/16,9,28,30,40,61,3,,52,22,1.83%,,,,
04/06/16,4,28,49,60,65,25,,53,17,1.41%,,,,
04/09/16,14,22,23,41,61,9,,54,19,1.58%,,,,
04/13/16,30,33,35,38,64,22,,55,15,1.24%,,,,
04/16/16,3,18,25,32,51,3,,56,14,1.16%,,,,
04/20/16,12,25,30,52,62,8,,57,20,1.66%,,,,
04/23/16,19,35,46,59,62,13,,58,13,1.08%,,,,
04/27/16,2,25,33,39,64,17,,59,16,1.33%,,,,
04/30/16,3,12,16,32,34,14,,60,16,1.33%,,,,
05/04/16,30,47,57,66,69,3,,61,23,1.91%,,,,
05/07/16,5,25,26,44,66,9,,62,23,1.91%,,,,
05/11/16,20,32,52,66,69,23,,63,24,1.99%,,,,
05/14/16,13,27,47,64,65,9,,64,27,2.24%,,,,
05/18/16,23,25,39,54,67,11,,65,12,1.00%,,,,
05/21/16,5,7,9,23,32,26,,66,20,1.66%,,,,
05/25/16,11,24,41,59,64,15,,67,18,1.49%,,,,
05/28/16,6,33,34,58,59,12,,68,19,1.58%,,,,
06/01/16,23,30,33,40,69,12,,69,26,2.16%,,,,
06/04/16,16,20,22,43,64,17,,,,,,,,
06/08/16,12,25,37,60,69,20,,,,,,,,
06/11/16,20,27,36,41,58,7,,,,,,,,
06/15/16,4,22,24,31,33,10,,,,,,,,
06/18/16,2,23,41,53,63,11,,,,,,,,
06/22/16,14,40,42,43,52,17,,,,,,,,
06/25/16,3,27,36,56,69,25,,,,,,,,
06/29/16,23,29,37,60,64,6,,,,,,,,
07/02/16,10,34,39,59,63,4,,,,,,,,
07/06/16,2,24,31,57,66,18,,,,,,,,
07/09/16,10,28,32,61,64,12,,,,,,,,
07/13/16,3,15,29,54,57,10,,,,,,,,
07/16/16,11,17,40,50,62,26,,,,,,,,
07/20/16,6,25,35,58,66,5,,,,,,,,
07/23/16,5,7,23,35,39,11,,,,,,,,
07/27/16,10,47,50,65,68,24,,,,,,,,
07/30/16,11,17,21,23,32,5,,,,,,,,
08/03/16,9,11,27,66,67,2,,,,,,,,
08/06/16,20,33,36,47,52,12,,,,,,,,
08/10/16,23,56,61,64,67,12,,,,,,,,
08/13/16,38,44,60,64,69,6,,,,,,,,
08/17/16,33,44,49,50,52,8,,,,,,,,
08/20/16,3,6,21,60,68,24,,,,,,,,
08/24/16,9,11,25,64,65,16,,,,,,,,
08/27/16,4,32,48,49,63,20,,,,,,,,
08/31/16,5,10,24,56,61,12,,,,,,,,
09/03/16,7,39,50,59,67,25,,,,,,,,
09/07/16,22,23,29,33,55,21,,,,,,,,
09/10/16,3,17,49,55,68,8,,,,,,,,
09/14/16,10,11,23,28,31,14,,,,,,,,
09/17/16,9,19,51,55,62,14,,,,,,,,
09/21/16,1,28,63,67,69,17,,,,,,,,
09/24/16,7,15,20,29,41,22,,,,,,,,
09/28/16,30,38,52,53,62,1,,,,,,,,
10/01/16,2,12,50,61,64,1,,,,,,,,
10/05/16,8,18,27,29,60,15,,,,,,,,
10/08/16,3,54,61,64,68,9,,,,,,,,
10/12/16,16,30,34,37,44,16,,,,,,,,
10/15/16,23,49,57,64,67,20,,,,,,,,
10/19/16,10,16,38,43,63,23,,,,,,,,
10/22/16,1,28,33,55,56,22,,,,,,,,
10/26/16,2,3,16,48,56,24,,,,,,,,
10/29/16,19,20,21,42,48,23,,,,,,,,
11/02/16,13,18,37,54,61,5,,,,,,,,
11/05/16,21,31,50,51,69,8,,,,,,,,
11/09/16,1,25,28,31,54,2,,,,,,,,
11/12/16,8,17,20,27,52,24,,,,,,,,
11/16/16,28,41,61,63,65,7,,,,,,,,
11/19/16,16,24,28,43,61,21,,,,,,,,
11/23/16,7,32,41,47,61,3,,,,,,,,
11/26/16,17,19,21,37,44,16,,,,,,,,
11/30/16,3,14,18,25,45,7,,,,,,,,
12/03/16,8,10,26,27,33,22,,,,,,,,
12/07/16,41,48,49,53,64,20,,,,,,,,
12/10/16,12,21,32,44,66,15,,,,,,,,
12/14/16,18,26,37,39,66,15,,,,,,,,
12/17/16,1,8,16,40,48,10,,,,,,,,
12/21/16,25,33,40,54,68,3,,,,,,,,
12/24/16,28,38,42,51,52,21,,,,,,,,
12/28/16,16,23,30,44,58,4,,,,,,,,
12/31/16,1,3,28,57,67,9,,,,,,,,
01/04/17,16,17,29,41,42,4,,,,,,,,
01/07/17,3,12,24,37,63,10,,,,,,,,
01/11/17,1,3,13,16,43,24,,,,,,,,
01/14/17,23,55,59,64,69,13,,,,,,,,
01/18/17,9,40,41,53,58,12,,,,,,,,
01/21/17,23,25,45,52,67,2,,,,,,,,
01/25/17,18,28,62,66,68,22,,,,,,,,
01/28/17,12,20,39,49,69,17,,,,,,,,
02/01/17,9,43,57,60,64,10,,,,,,,,
02/04/17,6,13,16,17,52,25,,,,,,,,
02/08/17,14,20,42,49,66,5,,,,,,,,
02/11/17,5,9,17,37,64,2,,,,,,,,
02/15/17,5,28,33,38,42,19,,,,,,,,
02/18/17,3,7,9,31,33,20,,,,,,,,
02/22/17,10,13,28,52,61,2,,,,,,,,
02/25/17,6,32,47,62,65,19,,,,,,,,
03/01/17,10,16,40,52,55,17,,,,,,,,
03/01/17,10,16,40,52,55,17,,,,,,,,
03/04/17,2,18,19,22,63,19,,,,,,,,
03/08/17,23,33,42,46,59,4,,,,,,,,
03/11/17,1,26,41,50,57,11,,,,,,,,
03/15/17,16,30,41,48,53,16,,,,,,,,
03/18/17,13,25,44,54,67,5,,,,,,,,
03/22/17,2,9,27,29,42,9,,,,,,,,
03/25/17,18,31,32,45,48,16,,,,,,,,
03/29/17,8,15,31,36,62,11,,,,,,,,
04/01/17,9,32,36,44,65,1,,,,,,,,
04/05/17,8,20,46,53,54,13,,,,,,,,
04/08/17,23,36,51,53,60,15,,,,,,,,
04/12/17,8,14,61,63,68,24,,,,,,,,
04/15/17,5,22,26,45,61,13,,,,,,,,
04/19/17,1,19,37,40,52,15,,,,,,,,
04/22/17,21,39,41,48,63,6,,,,,,,,
04/26/17,1,15,18,26,51,26,,,,,,,,
04/29/17,22,23,24,45,62,5,,,,,,,,
05/03/17,17,18,49,59,66,9,,,,,,,,
05/06/17,11,21,31,41,59,21,,,,,,,,
05/10/17,29,31,46,56,62,8,,,,,,,,
05/13/17,17,20,32,63,68,19,,,,,,,,
05/17/17,4,11,39,45,48,9,,,,,,,,
05/20/17,5,22,45,47,54,3,,,,,,,,
05/24/17,28,32,33,38,62,15,,,,,,,,
05/27/17,5,10,28,55,67,9,,,,,,,,
05/31/17,4,33,39,46,60,6,,,,,,,,
06/03/17,3,9,21,41,54,25,,,,,,,,
06/07/17,5,21,57,66,69,13,,,,,,,,
06/14/17,5,22,43,57,63,24,,,,,,,,
06/17/17,10,13,32,53,62,21,,,,,,,,
06/21/17,14,46,61,65,68,13,,,,,,,,
06/24/17,10,22,32,36,58,10,,,,,,,,
06/28/17,29,37,46,53,68,8,,,,,,,,
07/01/17,19,42,45,48,53,16,,,,,,,,
07/05/17,4,9,16,54,68,21,,,,,,,,
07/08/17,8,10,29,40,59,26,,,,,,,,
07/12/17,1,2,18,23,61,9,,,,,,,,
07/15/17,9,40,63,64,66,17,,,,,,,,
07/19/17,50,51,59,61,63,4,,,,,,,,
07/22/17,5,32,44,53,60,9,,,,,,,,
07/26/17,7,19,21,42,69,12,,,,,,,,
07/29/17,1,28,40,45,48,12,,,,,,,,
08/02/17,1,16,54,63,69,18,,,,,,,,
08/05/17,11,21,28,33,45,11,,,,,,,,
08/09/17,12,30,36,47,62,9,,,,,,,,
08/12/17,20,24,26,35,49,19,,,,,,,,
08/16/17,9,15,43,60,64,4,,,,,,,,
08/19/17,17,19,39,43,68,13,,,,,,,,
08/23/17,6,7,16,23,26,4,,,,,,,,
08/26/17,7,15,32,38,66,15,,,,,,,,
08/30/17,19,28,43,67,69,7,,,,,,,,
09/02/17,6,21,41,52,62,26,,,,,,,,
09/06/17,8,14,32,58,67,17,,,,,,,,
09/09/17,6,20,29,57,59,22,,,,,,,,
09/13/17,17,24,35,57,63,19,,,,,,,,
09/16/17,17,18,24,25,31,24,,,,,,,,
09/20/17,39,48,53,67,68,26,,,,,,,,
09/23/17,24,45,55,56,57,19,,,,,,,,
09/27/17,8,10,21,23,25,22,,,,,,,,
09/30/17,8,12,25,41,64,15,,,,,,,,
10/04/17,22,23,62,63,66,24,,,,,,,,
10/07/17,10,49,61,63,65,7,,,,,,,,
10/11/17,1,3,13,19,69,23,,,,,,,,
10/14/17,32,37,56,66,69,11,,,,,,,,
10/18/17,30,49,54,66,69,8,,,,,,,,
10/21/17,14,41,42,45,69,4,,,,,,,,
10/25/17,18,22,29,54,57,8,,,,,,,,
10/28/17,27,35,38,57,66,10,,,,,,,,
11/01/17,3,6,19,26,44,1,,,,,,,,
11/04/17,12,14,26,48,51,13,,,,,,,,
11/08/17,12,14,20,21,34,22,,,,,,,,
11/11/17,4,6,16,30,56,18,,,,,,,,
11/15/17,23,32,44,48,50,25,,,,,,,,
11/18/17,17,28,31,32,39,26,,,,,,,,
11/22/17,35,37,46,51,61,13,,,,,,,,
11/25/17,8,13,27,53,54,4,,,,,,,,
11/29/17,24,26,28,59,63,16,,,,,,,,
12/02/17,28,30,32,36,58,6,,,,,,,,
12/06/17,19,20,50,55,62,9,,,,,,,,
12/09/17,25,36,37,55,60,6,,,,,,,,
12/13/17,2,24,28,51,58,7,,,,,,,,
12/16/17,9,35,37,50,63,11,,,,,,,,
12/20/17,1,20,61,64,69,20,,,,,,,,
12/23/17,1,3,13,15,44,25,,,,,,,,
12/27/17,3,9,16,56,60,3,,,,,,,,
12/30/17,28,36,41,51,58,24,,,,,,,,
01/03/18,2,18,37,39,42,12,,,,,,,,
01/06/18,12,61,30,29,33,26,,,,,,,,
01/10/18,7,24,33,49,50,4,,,,,,,,
01/13/18,14,25,35,58,69,24,,,,,,,,
01/17/18,3,33,37,51,57,21,,,,,,,,
01/20/18,26,28,47,49,58,3,,,,,,,,
01/24/18,5,9,11,33,64,21,,,,,,,,
